epoch,train_loss,train_acc,test_loss,test_acc
1,0.239997,0.925983,0.118826,0.9623
2,0.102132,0.96885,0.106188,0.9658
3,0.072634,0.976633,0.101454,0.968
4,0.0576043,0.98225,0.0807903,0.9762
5,0.0433843,0.985967,0.0776556,0.9768
6,0.0358228,0.98845,0.074095,0.9775
7,0.0281296,0.990733,0.0794804,0.9786
8,0.0200003,0.993467,0.0822181,0.9782
9,0.0163773,0.99515,0.0733008,0.9812
10,0.0128032,0.996083,0.0752417,0.98
11,0.00998397,0.997117,0.094671,0.9756
12,0.00734132,0.998033,0.0776782,0.9806
13,0.00531129,0.998633,0.076851,0.9796
14,0.0029485,0.999617,0.077759,0.9806
15,0.00187145,0.99985,0.0769467,0.9815
16,0.00147681,0.99995,0.0786088,0.9814
17,0.00118441,0.999983,0.0787994,0.9813
18,0.000967577,1,0.0790338,0.9815
19,0.00087986,1,0.0791888,0.9821
20,0.000816311,1,0.0801273,0.9815
