epoch,train_loss,train_acc,test_loss,test_acc
1,0.246842,0.924067,0.134005,0.9576
2,0.103939,0.967533,0.0972734,0.9698
3,0.0752886,0.97695,0.116955,0.9666
4,0.0571802,0.981817,0.0854658,0.9754
5,0.0447131,0.985967,0.0817927,0.9763
6,0.0355723,0.9881,0.0826618,0.976
7,0.0291665,0.990933,0.0850885,0.9785
8,0.0235208,0.99265,0.0853534,0.977
9,0.0178264,0.994333,0.0839628,0.9775
10,0.0149095,0.995383,0.0829239,0.9787
11,0.0103378,0.9972,0.0857266,0.9781
12,0.00880089,0.997633,0.0876845,0.9777
13,0.0063959,0.99835,0.0834455,0.9789
14,0.00422811,0.999167,0.079929,0.9804
15,0.002568,0.999717,0.0815003,0.9804
16,0.00167424,0.999933,0.0821163,0.9807
17,0.00128278,0.999967,0.0811424,0.9807
18,0.0010596,0.999983,0.0816665,0.9814
19,0.000930995,1,0.0819861,0.9816
20,0.000833189,1,0.084208,0.9813
