epoch,train_loss,train_acc,test_loss,test_acc
1,0.312722,0.903433,0.133697,0.9585
2,0.125588,0.960733,0.114676,0.9652
3,0.0923164,0.971783,0.111345,0.9653
4,0.0746398,0.976267,0.0934818,0.9716
5,0.0609046,0.981133,0.107005,0.9675
6,0.0506997,0.984033,0.0883638,0.974
7,0.0442175,0.985867,0.113313,0.9721
8,0.0376049,0.988033,0.105418,0.9733
9,0.034642,0.988833,0.0992209,0.9755
10,0.0297917,0.990233,0.109093,0.9753
11,0.0308496,0.990067,0.10871,0.9752
12,0.0271244,0.9913,0.0986418,0.9787
13,0.0277807,0.991317,0.118673,0.9758
14,0.0209366,0.993017,0.110816,0.9771
15,0.0216554,0.99295,0.116632,0.9769
16,0.0191583,0.99405,0.130107,0.9741
17,0.0198657,0.99325,0.161859,0.9713
18,0.0276732,0.991933,0.14527,0.9715
19,0.0143583,0.99525,0.128973,0.9756
20,0.0185837,0.994183,0.145632,0.9763
