Hidden,Final_Test_Acc_mean,Final_Test_Acc_std,Final_Test_Loss_mean,Final_Test_Loss_std,Final_Train_Acc_mean,Final_Train_Acc_std,Final_Train_Loss_mean,Final_Train_Loss_std
64,0.9762666666666666,0.001069267662156357,0.11799466666666668,0.007899543362330086,0.9971329999999999,0.0011456439237389913,0.009426803333333332,0.0031215440993574532
128,0.9818666666666666,0.0012013880860626503,0.08273666666666667,0.0024411265357071016,1.0,0.0,0.0008413646666666667,1.4973443903569195e-05
256,0.983,0.0012767145334804202,0.06818400000000001,0.0045062069204598225,1.0,0.0,0.0006868743333333333,6.13278406054977e-06
