Batch,Final_Test_Acc_mean,Final_Test_Acc_std,Final_Test_Loss_mean,Final_Test_Loss_std,Final_Train_Acc_mean,Final_Train_Acc_std,Final_Train_Loss_mean,Final_Train_Loss_std
16,0.9818000000000001,0.0010816653826391854,0.0768736,0.003497519230826333,1.0,0.0,0.0007083333333333334,2.4416001337920444e-05
32,0.9824666666666667,0.0006429100507328577,0.07533386666666667,0.003030185460220773,1.0,0.0,0.0007552856666666667,1.1432733545978119e-05
64,0.9818666666666666,0.0012013880860626503,0.08273666666666667,0.0024411265357071016,1.0,0.0,0.0008413646666666667,1.4973443903569195e-05
128,0.9642666666666666,0.00465223960403304,0.14695933333333333,0.013268173285472779,0.9803223333333334,0.010128424622483619,0.06280960000000001,0.03408871840990799
256,0.10006666666666668,0.0016165807537309575,2.3036133333333333,0.0013607840876983949,0.10656133333333333,0.0005776212715381416,2.30403,0.00015394804318324677
