Activation,Final_Test_Acc_mean,Final_Test_Acc_std,Final_Test_Loss_mean,Final_Test_Loss_std,Final_Train_Acc_mean,Final_Train_Acc_std,Final_Train_Loss_mean,Final_Train_Loss_std
relu (he),0.9818666666666666,0.0012013880860626503,0.08273666666666667,0.0024411265357071016,1.0,0.0,0.0008413646666666667,1.4973443903569195e-05
relu (manual),0.9824333333333334,0.0008736894948054218,0.07482223333333334,0.000717778798330894,1.0,0.0,0.0008064906666666666,7.133247801901557e-05
sigmoid (xavier),0.9800333333333334,0.0010969655114602803,0.06447573333333333,0.0008573380799505733,0.9962386666666667,5.095422782588033e-05,0.020219166666666667,0.0001111838717320698
tanh (xavier),0.9805666666666667,0.00040414518843270955,0.07575666666666668,0.005238436078003936,0.9999886666666665,9.814954576265504e-06,0.0017910066666666667,2.2113494371838456e-05
